n_sites,deployment_days_per_site,replicate,method,split,covs_rmse,psi_rmse,z_acc,time
50,56,6,spOcc,test,0.8182979196536915,0.39254997420040866,0.8,0.22052877116948366
50,56,6,Unmarked,train,0.308080596949055,0.39004145461572304,0.7,0.04073864687234163
50,56,6,Unmarked,test,0.308080596949055,0.40913742960149985,0.8,0.04073864687234163
50,56,6,NumPyro,train,0.8079391230019521,0.38871837,0.7,9.735345549881458
50,56,6,NumPyro,test,0.8079391230019521,0.39887893,0.8,9.735345549881458
50,56,7,spOcc,train,0.3621893543067776,0.49447432547821063,0.55,0.19592730607837439
50,56,7,spOcc,test,0.3621893543067776,0.43241798972497403,0.8,0.19592730607837439
50,56,7,Unmarked,train,0.3593475549906383,0.495032510810632,0.55,0.0391838769428432
50,56,7,Unmarked,test,0.3593475549906383,0.4258272731722235,0.8,0.0391838769428432
50,56,7,NumPyro,train,0.3592882261512302,0.49465793,0.55,9.933361649978906
50,56,7,NumPyro,test,0.3592882261512302,0.4253041,0.8,9.933361649978906
50,56,8,spOcc,train,0.42743632655069264,0.4401642249608933,0.7,0.30511397728696465
50,56,8,spOcc,test,0.42743632655069264,0.44765996429786525,0.6,0.30511397728696465
50,56,8,Unmarked,train,0.402937136648457,0.43906316112204774,0.7,0.04526614770293236
50,56,8,Unmarked,test,0.402937136648457,0.44684587983082485,0.6,0.04526614770293236
50,56,8,NumPyro,train,0.41994445188127616,0.43982905,0.7,9.429076780099422
50,56,8,NumPyro,test,0.41994445188127616,0.4454468,0.6,9.429076780099422
50,56,9,spOcc,train,0.5192559529128181,0.394555692153571,0.8,0.30718972720205784
50,56,9,spOcc,test,0.5192559529128181,0.30601939958199237,1.0,0.30718972720205784
50,56,9,Unmarked,train,0.5616272362393305,0.391462012397659,0.8,0.03507910668849945
50,56,9,Unmarked,test,0.5616272362393305,0.2790831681583323,1.0,0.03507910668849945
50,56,9,NumPyro,train,0.5098702801162173,0.39377785,0.8,9.716160095762461
50,56,9,NumPyro,test,0.5098702801162173,0.28731748,1.0,9.716160095762461
50,112,0,spOcc,train,0.23388573282119515,0.47379322034695676,0.55,0.5205685980618
50,112,0,spOcc,test,0.23388573282119515,0.49795662371094523,0.6,0.5205685980618
50,112,0,Unmarked,train,0.23462464558555757,0.4738278851560087,0.55,0.05735110118985176
50,112,0,Unmarked,test,0.23462464558555757,0.49830999204360465,0.6,0.05735110118985176
50,112,0,NumPyro,train,0.23275030401731056,0.4738244,0.55,11.358595851343125
50,112,0,NumPyro,test,0.23275030401731056,0.49857366,0.6,11.358595851343125
50,112,1,spOcc,train,0.4388090535954333,0.43616211830045515,0.75,0.5705494177527726
50,112,1,spOcc,test,0.4388090535954333,0.5710353930815499,0.5,0.5705494177527726
50,112,1,Unmarked,train,0.4845248916978316,0.43360478747686154,0.75,0.05562521098181605
50,112,1,Unmarked,test,0.4845248916978316,0.584114081604914,0.5,0.05562521098181605
50,112,1,NumPyro,train,0.4528780461926273,0.4360961,0.75,9.474419750273228
50,112,1,NumPyro,test,0.4528780461926273,0.5780673,0.5,9.474419750273228
50,112,2,spOcc,train,0.17460449048495652,0.39701704893222506,0.8,0.4829338421113789
50,112,2,spOcc,test,0.17460449048495652,0.4393153240606364,0.6,0.4829338421113789
50,112,2,Unmarked,train,0.2653467991202649,0.3932342094379137,0.8,0.051575788762420416
50,112,2,Unmarked,test,0.2653467991202649,0.44125293840633484,0.6,0.051575788762420416
50,112,2,NumPyro,train,0.1845288116037765,0.39702195,0.8,9.624778201803565
50,112,2,NumPyro,test,0.1845288116037765,0.44208983,0.6,9.624778201803565
50,112,3,spOcc,train,0.5732616582548561,0.3778490599472058,0.775,0.36401148000732064
50,112,3,spOcc,test,0.5732616582548561,0.28185898061631165,0.9,0.36401148000732064
50,112,3,Unmarked,train,0.21813497255078484,0.3667209813142338,0.8,0.05647602118551731
50,112,3,Unmarked,test,0.21813497255078484,0.2618639967727301,0.9,0.05647602118551731
50,112,3,NumPyro,train,0.5895683941325827,0.37781823,0.77500004,9.681219266261905
50,112,3,NumPyro,test,0.5895683941325827,0.27694306,0.90000004,9.681219266261905
50,112,4,spOcc,train,0.3947841566002249,0.45136793352606713,0.675,0.30772207025438547
50,112,4,spOcc,test,0.3947841566002249,0.2878189488036383,0.9,0.30772207025438547
50,112,4,Unmarked,train,0.3356413620645381,0.4494431514213897,0.675,0.05303463013842702
50,112,4,Unmarked,test,0.3356413620645381,0.26205131531814646,0.9,0.05303463013842702
50,112,4,NumPyro,train,0.39381541522782143,0.4510489,0.675,9.689174070023
50,112,4,NumPyro,test,0.39381541522782143,0.27475935,0.90000004,9.689174070023
50,112,5,spOcc,train,0.35430188814916136,0.4390084077213533,0.725,0.2995008579455316
50,112,5,spOcc,test,0.35430188814916136,0.48255330616426684,0.7,0.2995008579455316
50,112,5,Unmarked,train,0.3293209098313906,0.4376526866980529,0.725,0.04998080991208553
50,112,5,Unmarked,test,0.3293209098313906,0.48629046245041585,0.7,0.04998080991208553
50,112,5,NumPyro,train,0.36468207573369926,0.43912587,0.725,9.703993516042829
50,112,5,NumPyro,test,0.36468207573369926,0.48219416,0.7,9.703993516042829
50,112,6,spOcc,train,0.8277691280367248,0.388779834633874,0.7,0.3205854329280555
50,112,6,spOcc,test,0.8277691280367248,0.39456803147282943,0.8,0.3205854329280555
50,112,6,Unmarked,train,0.3733860902946981,0.38903745640619886,0.7,0.05248564016073942
50,112,6,Unmarked,test,0.3733860902946981,0.40717029326513354,0.8,0.05248564016073942
50,112,6,NumPyro,train,0.8356163056977319,0.3892623,0.725,9.5615051118657
50,112,6,NumPyro,test,0.8356163056977319,0.39915404,0.8,9.5615051118657
